"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"Laura","tt0037008",1944,"88 min","8","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Children of Paradise","tt0037674",1945,"189 min",NA,NA,"1940s","No",NA,NA
"My Neighbor Totoro","tt0096283",1988,"86 min","8","Rated on 17 Sep 2021","1980s","Yes",NA,NA
"A Tale of Winter","tt0104008",1992,"114 min",NA,NA,"1990s","No",NA,NA
"The Searchers","tt0049730",1956,"119 min",NA,NA,"1950s","No",NA,NA
"The Earrings of Madame De...","tt0046022",1953,"105 min",NA,NA,"1950s","No",NA,NA
"Bring Me the Head of Alfredo Garcia","tt0071249",1974,"112 min",NA,NA,"1970s","No",NA,NA
"Snow White and the Seven Dwarfs","tt0029583",1937,"83 min","7","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"Lawrence of Arabia","tt0056172",1962,"228 min","9","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Seven Samurai","tt0047478",1954,"207 min",NA,NA,"1950s","No",NA,NA
"Juliet of the Spirits","tt0059229",1965,"137 min",NA,NA,"1960s","No",NA,NA
"Hoop Dreams","tt0110057",1994,"170 min",NA,NA,"1990s","No",NA,NA
"The Apartment","tt0053604",1960,"125 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Do the Right Thing","tt0097216",1989,"120 min",NA,NA,"1980s","No","Prime","Feature Film"
"Pulp Fiction","tt0110912",1994,"154 min","8","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"Schindler's List","tt0108052",1993,"195 min","8","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"Vivre Sa Vie","tt0056663",1962,"85 min",NA,NA,"1960s","No",NA,NA
"Fargo","tt0116282",1996,"98 min","8","Rated on 11 Jul 2021","1990s","Yes","Prime","Feature Film"
"The Maltese Falcon","tt0033870",1941,"100 min","8","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Manhattan","tt0079522",1979,"96 min",NA,NA,"1970s","No",NA,NA
"The Silence of the Lambs","tt0102926",1991,"118 min","9","Rated on 09 Jul 2021","1990s","Yes","Prime","Feature Film"
"Pather Panchali","tt0048473",1955,"125 min",NA,NA,"1950s","No",NA,NA
"Aparajito","tt0048956",1956,"110 min",NA,NA,"1950s","No","Prime","Feature Film"
"The World of Apu","tt0052572",1959,"105 min",NA,NA,"1950s","No",NA,NA
"The Conversation","tt0071360",1974,"113 min",NA,NA,"1970s","No",NA,NA
"This Is Spinal Tap","tt0088258",1984,"82 min",NA,NA,"1980s","No",NA,NA
"Persona","tt0060827",1966,"83 min",NA,NA,"1960s","No",NA,NA
"A Christmas Story","tt0085334",1983,"93 min","6","Rated on 14 Jul 2021","1980s","Yes",NA,NA
"The Bank Dick","tt0032234",1940,"72 min",NA,NA,"1940s","No",NA,NA
"Beat the Devil","tt0046414",1953,"89 min",NA,NA,"1950s","No","Prime","Feature Film"
"L'Atalante","tt0024844",1934,"89 min",NA,NA,"1930s","No",NA,NA
"Network","tt0074958",1976,"121 min",NA,NA,"1970s","No",NA,NA
"Planes, Trains & Automobiles","tt0093748",1987,"93 min","6","Rated on 14 Jul 2021","1980s","Yes",NA,NA
"Ran","tt0089881",1985,"162 min",NA,NA,"1980s","No",NA,NA
"Romeo and Juliet","tt0063518",1968,"138 min",NA,NA,"1960s","No",NA,NA
"Shane","tt0046303",1953,"118 min",NA,NA,"1950s","No",NA,NA
"The Producers","tt0063462",1967,"88 min","7","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Nashville","tt0073440",1975,"160 min",NA,NA,"1970s","No",NA,NA
"Jaws","tt0073195",1975,"124 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Duck Soup","tt0023969",1933,"69 min",NA,NA,"1930s","No",NA,NA
"The Discreet Charm of the Bourgeoisie","tt0068361",1972,"102 min","8","Rated on 08 Nov 2021","1970s","Yes",NA,NA
"All About Eve","tt0042192",1950,"138 min",NA,NA,"1950s","No",NA,NA
"8½","tt0056801",1963,"138 min",NA,NA,"1960s","No",NA,NA
"Orpheus","tt0041719",1950,"112 min",NA,NA,"1950s","No",NA,NA
"Indiana Jones and the Raiders of the Lost Ark","tt0082971",1981,"115 min","9","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"Un Chien Andalou","tt0020530",1929,"16 min",NA,NA,"1920s","No",NA,NA
"The Seventh Seal","tt0050976",1957,"96 min",NA,NA,"1950s","No",NA,NA
"Dekalog","tt0092337",1990,"572 min",NA,NA,"1990s","No",NA,NA
"Grave of the Fireflies","tt0095327",1988,"89 min","9","Rated on 11 Jul 2021","1980s","Yes",NA,NA
"The Last Laugh","tt0015064",1924,"90 min",NA,NA,"1920s","No",NA,NA
"Rear Window","tt0047396",1954,"112 min","9","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"Broken Blossoms or the Yellow Man and the Girl","tt0009968",1919,"90 min",NA,NA,"1910s","No",NA,NA
"Chinatown","tt0071315",1974,"130 min","8","Rated on 13 Jan 2022","1970s","Yes",NA,NA
"Some Like It Hot","tt0053291",1959,"121 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"Beauty and the Beast","tt0038348",1946,"93 min",NA,NA,"1940s","No",NA,NA
"Greed","tt0015881",1924,"140 min",NA,NA,"1920s","No",NA,NA
"Apocalypse Now","tt0078788",1979,"147 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"The Shawshank Redemption","tt0111161",1994,"142 min","8","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"House of Games","tt0093223",1987,"102 min",NA,NA,"1980s","No","Prime","Feature Film"
"McCabe & Mrs. Miller","tt0067411",1971,"120 min",NA,NA,"1970s","No",NA,NA
"La Grande Illusion","tt0028950",1937,"113 min",NA,NA,"1930s","No",NA,NA
"Yellow Submarine","tt0063823",1968,"85 min","6","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Dracula","tt0021814",1931,"75 min","8","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"Great Expectations","tt0038574",1946,"118 min",NA,NA,"1940s","No",NA,NA
"The 400 Blows","tt0053198",1959,"99 min",NA,NA,"1950s","No",NA,NA
"Belle de Jour","tt0061395",1967,"100 min",NA,NA,"1960s","No",NA,NA
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012",1964,"95 min","8","Rated on 19 Sep 2021","1960s","Yes",NA,NA
"Star Wars: Episode IV - A New Hope","tt0076759",1977,"121 min","8","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Sunset Blvd.","tt0043014",1950,"110 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"My Dinner with Andre","tt0082783",1981,"110 min",NA,NA,"1980s","No",NA,NA
"Last Year at Marienbad","tt0054632",1961,"94 min",NA,NA,"1960s","No",NA,NA
"Peeping Tom","tt0054167",1960,"101 min",NA,NA,"1960s","No",NA,NA
