"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Poland","Nights and Days","Noce i dnie","Polish","Jerzy Antczak","Nominated",NA,NA,"/w"
"Romania","The Doom","Osânda","Romanian","Sergiu Nicolaescu","Not nominated",NA,NA,"/w"
"Soviet Union","They Fought For Their Motherland","Они сражались за родину","Russian","Sergei Bondarchuk","Not nominated",NA,NA,"/w"
"Spain","Raise Ravens","Cría cuervos","Spanish","Carlos Saura","Not nominated",NA,NA,"/w"
"Sweden","City of My Dreams","Mina drömmars stad","Swedish","Ingvar Skogsberg","Not nominated",NA,NA,"/w"
"Switzerland","Jonah Who Will Be 25 in the Year 2000","Jonas qui aura 25 ans en l'an 2000","French","Alain Tanner","Not nominated",NA,NA,"/w"
"Taiwan","Eight Hundred Heroes","八百壮士","Mandarin","Ting Shan-hsi","Not nominated",NA,NA,"/w"
"Yugoslavia","The Rat Savior","Izbavitelj","Serbo-Croatian","Krsto Papić","Not nominated",NA,NA,"/w"
"Argentina","What Does Fall Mean?","¿Qué es el otoño?","Spanish","Daniel Portela and David José Kohon","Not nominated",NA,NA,"/w"
"Austria","I Want to Live","Ich will leben","German","Jörg A. Eggers","Not nominated",NA,NA,"/w"
"Belgium","Rubens","Rubens, schilder en diplomaat","Dutch","Roland Verhavert","Not nominated",NA,NA,"/w"
"Brazil","Tent of Miracles","Tenda dos Milagres","Portuguese","Nelson Pereira dos Santos","Not nominated",NA,NA,"/w"
"Canada","J.A. Martin Photographer","J.A. Martin photographe","French","Jean Beaudin","Not nominated",NA,NA,"/w"
"Denmark","Boys","Drenge","Danish","Nils Malmros","Not nominated",NA,NA,"/w"
"France","Madame Rosa","La Vie devant soi","French","Moshé Mizrahi","Won Academy Award",NA,NA,"/w"
"East Germany","Mom, I Am Alive","Mama, ich lebe","German","Konrad Wolf","Not nominated",NA,NA,"/w"
"West Germany","The American Friend","Der Amerikanische Freund","German","Wim Wenders","Not nominated",NA,NA,"/w"
"Greece","Iphigenia","Ἰφιγένεια","Greek","Michael Cacoyannis","Nominated",NA,NA,"/w"
"Hungary","A Strange Role","Herkulesfürdöi emlék","Hungarian","Pál Sándor","Not nominated",NA,NA,"/w"
"India","Manthan","मंथन","Hindi","Shyam Benegal","Not nominated",NA,NA,"/w"
"Iran","The Cycle","دايره مينا","Persian","Dariush Mehrjui","Not nominated",NA,NA,"/w"
"Israel","Operation Thunderbolt[3]","מבצע יונתן","Hebrew, English","Menahem Golan","Nominated",NA,NA,"/w"
"Italy","A Special Day","Una Giornata particolare","Italian","Ettore Scola","Nominated",NA,NA,"/w"
"Japan","Mt. Hakkoda","八甲田山","Japanese","Shiro Moritani","Not nominated",NA,NA,"/w"
"Mexico","Pafnucio Santo","Pafnucio Santo","Spanish","Rafael Corkidi","Not nominated",NA,NA,"/w"
"Morocco","Blood Wedding","Noces de sang","French","Souheil Ben-Barka","Not nominated",NA,NA,"/w"
"Netherlands","Soldier of Orange","Soldaat van Oranje","Dutch","Paul Verhoeven","Not nominated",NA,NA,"/w"
"Poland","Camouflage","Barwy ochronne","Polish","Krzysztof Zanussi","Not nominated",NA,NA,"/w"
"Soviet Union","The Ascent","Восхождение","Russian","Larisa Shepitko","Not nominated",NA,NA,"/w"
"Spain","That Obscure Object of Desire","Ese oscuro objeto del deseo","French, Spanish","Luis Buñuel","Nominated",NA,NA,"/w"
"Sweden","The Man on the Roof","Mannen på taket","Swedish","Bo Widerberg","Not nominated",NA,NA,"/w"
"Venezuela","The Fish That Smokes","El Pez que fuma","Spanish","Román Chalbaud","Not nominated",NA,NA,"/w"
"Brazil","The Lyre of Delight","A Lira do Delírio","Portuguese","Walter Lima Jr.","Not nominated",NA,NA,"/w"
"Cuba","Viva el Presidente","El Recurso del método","Spanish","Miguel Littín","Not nominated",NA,NA,"/w"
"Czechoslovakia","Nick Carter in Prague","Adéla ještě nevečeřela","Czech","Oldřich Lipský","Not nominated",NA,NA,"/w"
"Denmark","Me and Charly","Mig og Charly","Danish","Morten Arnfred and Henning Kristiansen","Not nominated",NA,NA,"/w"
"France","Get Out Your Handkerchiefs","Préparez vos mouchoirs","French","Bertrand Blier","Won Academy Award",NA,NA,"/w"
"West Germany","The Glass Cell","Die Gläserne Zelle","German","Hans W. Geißendörfer","Nominated",NA,NA,"/w"
"Hungary","Hungarians","Magyarok","Hungarian","Zoltán Fábri","Nominated",NA,NA,"/w"
"India","The Chess Players","शतरंज के खिलाड़ी","Hindi, Urdu","Satyajit Ray","Not nominated",NA,NA,"/w"
