"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"China","Forever Enthralled","梅兰芳","Mandarin Chinese","Chen Kaige",NA,"Not nominated",NA,"/w"
"Colombia","The Wind Journeys","Los viajes del viento","Spanish","Ciro Guerra",NA,"Not nominated",NA,"/w"
"Croatia","Donkey","Kenjac","Croatian","Antonio Nuić",NA,"Not nominated",NA,"/w"
"Cuba","Fallen Gods","Los Dioses Rotos","Spanish","Ernesto Daranas",NA,"Not nominated",NA,"/w"
"Czech Republic","Protector","Protektor","Czech","Marek Najbrt",NA,"Not nominated",NA,"/w"
"Denmark","Terribly Happy","Frygtelig lykkelig","Danish","Henrik Ruben Genz",NA,"Not nominated",NA,"/w"
"Estonia","December Heat","Detsembrikuumus","Estonian","Asko Kase",NA,"Not nominated",NA,"/w"
"Finland","Letters to Father Jacob","Postia pappi Jaakobille","Finnish","Klaus Härö",NA,"Not nominated",NA,"/w"
"France","A Prophet","Un prophète","French","Jacques Audiard",NA,"Nominated",NA,"/w"
"Georgia","The Other Bank","გაღმა ნაპირი","Georgian, Abkhaz, Russian","Giorgi Ovashvili",NA,"Not nominated",NA,"/w"
"Germany","The White Ribbon","Das weiße Band","German","Michael Haneke",NA,"Nominated",NA,"/w"
"Greece","Slaves in their Bonds","Οι Σκλάβοι στα Δεσμά τους","Greek","Adonis Lykouresis",NA,"Not nominated",NA,"/w"
"Hong Kong","Prince of Tears","淚王子","Mandarin","Yonfan",NA,"Not nominated",NA,"/w"
"Hungary","Chameleon","Kaméleon","Hungarian","Krisztina Goda",NA,"Not nominated",NA,"/w"
"Iceland","Reykjavík-Rotterdam","Reykjavik-Rotterdam","Icelandic","Oskar Jonasson",NA,"Not nominated",NA,"/w"
"India","Harishchandrachi Factory","हरिश्चंद्राची फॅक्टरी","Marathi","Paresh Mokashi",NA,"Not nominated",NA,"/w"
"Indonesia","Jamila and the President","Jamila dan Sang Presiden","Indonesian","Ratna Sarumpaet",NA,"Not nominated",NA,"/w"
"Iran","About Elly","درباره الی","Persian","Asghar Farhadi",NA,"Not nominated",NA,"/w"
"Israel","Ajami","عجميעג'מי","Israeli Arabic, Hebrew","Yaron Shani & Scandar Copti",NA,"Nominated",NA,"/w"
"Italy","Baarìa","Baarìa","Sicilian","Giuseppe Tornatore",NA,"Not nominated",NA,"/w"
"Japan","Nobody to Watch Over Me","誰も守ってくれない","Japanese","Ryoichi Kimizuka",NA,"Not nominated",NA,"/w"
"Kazakhstan","Kelin","Келін","No dialogue","Ermek Tursunov",NA,"Made shortlist",NA,"/w"
"Lithuania","Vortex","Duburys","Lithuanian, Russian","Gytis Luksas",NA,"Not nominated",NA,"/w"
"Luxembourg","Réfractaire","Réfractaire","French","Nicolas Steil",NA,"Not nominated",NA,"/w"
"Former Yugoslav Republic of Macedonia","Wingless","Созерцание","Czech","Ivo Trajkov",NA,"Not nominated",NA,"/w"
"Mexico","Backyard","El Traspatio","Spanish","Carlos Carrera",NA,"Not nominated",NA,"/w"
"Mongolia","By the Will of Genghis Khan [8]","Тайна Чингис Хаана","Yakut, Russian, others","Andrei Borissov",NA,"Disqualified",NA,"/w"
"Morocco","Casanegra","Casanegra","Arabic","Nour-Eddine Lakhmari",NA,"Not nominated",NA,"/w"
"Netherlands","Winter in Wartime","Oorlogswinter","Dutch, German,English","Martin Koolhoven",NA,"Made shortlist",NA,"/w"
"Norway","Max Manus","Max Manus","Norwegian, German","Joachim Rønning & Espen Sandberg",NA,"Not nominated",NA,"/w"
"Peru","The Milk of Sorrow","La teta asustada","Spanish, Quechua","Claudia Llosa",NA,"Nominated",NA,"/w"
"Philippines","Grandpa Is Dead","Ded na si Lolo","Filipino","Soxie Topacio",NA,"Not nominated",NA,"/w"
"Poland","Reverse","Rewers","Polish","Borys Lankosz",NA,"Not nominated",NA,"/w"
"Portugal","Doomed Love","Um Amor de Perdição","Portuguese","Mário Barroso",NA,"Not nominated",NA,"/w"
"Puerto Rico","Kabo and Platon","Kabo Y Platon","Spanish","Edmundo H. Rodríguez",NA,"Not nominated",NA,"/w"
"Romania","Police, Adjective","Politist, adj.","Romanian","Corneliu Porumboiu",NA,"Not nominated",NA,"/w"
"Russia","Ward No. 6","Палата №6","Russian","Aleksandr Gornovsky & Karen Shakhnazarov",NA,"Not nominated",NA,"/w"
"Serbia","St. George Shoots the Dragon","Свети Георгије убива аждаху","Serbian","Srdjan Dragojevic",NA,"Not nominated",NA,"/w"
"Slovakia","Broken Promise","Nedodržaný sľub","Slovak","Jirí Chlumský",NA,"Not nominated",NA,"/w"
"Slovenia","Landscape No. 2","Pokrajina Št. 2","Slovene","Vinko Moderndorfer",NA,"Not nominated",NA,"/w"
"South Africa","White Wedding","White Wedding","Afrikaans, Xhosa,Zulu, English","Jann Turner",NA,"Not nominated",NA,"/w"
"South Korea","Mother","마더","Korean","Bong Joon-ho",NA,"Not nominated",NA,"/w"
"Spain","The Dancer and the Thief","El baile de la victoria","Spanish","Fernando Trueba",NA,"Not nominated",NA,"/w"
"Sri Lanka","The Road from Elephant Pass","Alimankada Sita","Sinhala","Chandran Rutnam",NA,"Not nominated",NA,"/w"
"Sweden","Involuntary","De ofrivilliga","Swedish","Ruben Östlund",NA,"Not nominated",NA,"/w"
"Switzerland","Home","Home","French","Ursula Meier",NA,"Not nominated",NA,"/w"
"Taiwan","No Puedo Vivir Sin Ti","不能沒有你","Hakka, Taiwanese, Mandarin","Leon Dai",NA,"Not nominated",NA,"/w"
"Thailand","Best of Times","ความจำสั้น..แต่รักฉันยาว","Thai","Youngyooth Thongkonthun",NA,"Not nominated",NA,"/w"
"Turkey","I Saw the Sun","Güneşi gördüm","Turkish","Mahsun Kırmızıgül",NA,"Not nominated",NA,"/w"
"United Kingdom","Afghan Star","Afghan Star","Dari, Pashto, English","Havana Marking",NA,"Not nominated",NA,"/w"
"Uruguay","Bad Day for Fishing","Mal día para pescar","Spanish","Álvaro Brechner",NA,"Not nominated",NA,"/w"
"Venezuela","Libertador Morales, El Justiciero","Libertador Morales, El Justiciero","Spanish","Efterpi Charalambidis",NA,"Not nominated",NA,"/w"
"Vietnam","Don't Burn It","Đừng đốt","Vietnamese","Đặng Nhật Minh",NA,"Not nominated",NA,"/w"
"Afghanistan","The Black Tulip[7]","The Black Tulip","Dari, Pashto, English","Sonia Nassery Cole","Not nominated[8]",NA,NA,"/w"
"Albania","East, West, East[9]","Lindje, Perëndim, Lindje","Albanian, Italian","Gjergj Xhuvani","Not nominated",NA,NA,"/w"
"Algeria","Hors la Loi[10]","Hors-la-loi","French, Arabic","Rachid Bouchareb","Nominated[5]",NA,NA,"/w"
"Argentina","Carancho[11]","Carancho","Spanish","Pablo Trapero","Not nominated",NA,NA,"/w"
"Austria","La Pivellina[12]","La Pivellina","Italian","Tizza Covi & Rainer Frimmel","Not nominated",NA,NA,"/w"
"Azerbaijan","The Precinct[13]","Sahə","Azeri, Russian","Ilgar Safat","Not nominated",NA,NA,"/w"
"Bangladesh","Third Person Singular Number[14]","Third Person Singular Number","Bengali","Mostofa Sarwar Farooki","Not nominated",NA,NA,"/w"
"Belgium","Illegal[15]","Illègal","French, Russian, English","Olivier Masset-Depasse","Not nominated",NA,NA,"/w"
"Bosnia and Herzegovina","Circus Columbia[16]","Cirkus Columbia","Bosnian","Danis Tanović","Not nominated",NA,NA,"/w"
"Brazil","Lula, the Son of Brazil[17]","Lula, o filho do Brasil","Portuguese","Fábio Barreto","Not nominated",NA,NA,"/w"
"Bulgaria","Eastern Plays[18]","Eastern Plays","Bulgarian, Turkish, English","Kamen Kalev","Not nominated",NA,NA,"/w"
"Canada","Incendies[3]","Incendies","French, Arabic","Denis Villeneuve","Nominated[5]",NA,NA,"/w"
"Chile","The Life of Fish[19]","La vida de los peces","Spanish","Matías Bize","Not nominated",NA,NA,"/w"
"China","Aftershock[20]","唐山大地震","Mandarin Chinese","Feng Xiaogang","Not nominated",NA,NA,"/w"
"Colombia","Crab Trap[21]","El vuelco del cangrejo","Spanish","Oscar Ruíz Navia","Not nominated",NA,NA,"/w"
"Costa Rica","Of Love and Other Demons[22]","Del amor y otros demonios","Spanish","Hilda Hidalgo","Not nominated",NA,NA,"/w"
"Croatia","The Blacks[23]","Crnci","Croatian","Goran Devic & Zvonimir Juric","Not nominated",NA,NA,"/w"
"Czech Republic","Kawasaki's Rose[24]","Kawasakiho růže","Czech","Jan Hřebejk","Not nominated",NA,NA,"/w"
"Denmark","In a Better World[25]","Hævnen","Danish, English","Susanne Bier","Won Academy Award[6]",NA,NA,"/w"
"Egypt","Messages from the Sea[26]","رسائل البحر","Arabic","Daoud Abdel Sayed","Not nominated",NA,NA,"/w"
"Estonia","The Temptation of St. Tony[27]","Püha Tõnu kiusamine","Estonian","Veiko Õunpuu","Not nominated",NA,NA,"/w"
"Ethiopia","The Athlete[3]","Atletu","English, Amharic","Davey Frankel, Rasselas Lakew","Not nominated",NA,NA,"/w"
"Finland","Steam of Life[28]","Miesten vuoro","Finnish","Joonas Berghäll, Mika Hotakainen","Not nominated",NA,NA,"/w"
"France","Of Gods and Men[3]","Des hommes et des dieux","French","Xavier Beauvois","Not nominated",NA,NA,"/w"
"Georgia","Street Days[29]","ქუჩის დღეები","Georgian","Levan Koguashvili","Not nominated",NA,NA,"/w"
"Germany","When We Leave[3]","Die Fremde","German, Turkish","Feo Aladag","Not nominated",NA,NA,"/w"
"Greece","Dogtooth[30]","Κυνόδοντας","Greek","Yorgos Lanthimos","Nominated[5]",NA,NA,"/w"
"Greenland","Nuummioq[31]","Nuummioq","Greenlandic,  Danish","Torben Bech, Otto Rosing","Not nominated",NA,NA,"/w"
"Hungary","Bibliothèque Pascal[32]","Bibliothèque Pascal","Romanian, Hungarian, English","Szabolcs Hajdu","Not nominated",NA,NA,"/w"
"Hong Kong","Echoes of the Rainbow[33]","歲月神偷","Cantonese","Alex Law","Not nominated",NA,NA,"/w"
"Iceland","Mamma Gogo[34]","Mamma Gógó","Icelandic","Friðrik Þór Friðriksson","Not nominated",NA,NA,"/w"
"India","Peepli [Live][35]","Peepli [Live]पीपली लाइव","Hindi","Anusha Rizvi","Not nominated",NA,NA,"/w"
"Indonesia","How Funny (This Country Is)[36]","Alangkah Lucunya (Negeri Ini)","Indonesian","Deddy Mizwar","Not nominated",NA,NA,"/w"
"Iran","Farewell Baghdad[3]","بدرود بغداد","Arabic, English","Mehdi Naderi","Not nominated",NA,NA,"/w"
"Iraq","Son of Babylon[37]","ابن بابل","Arabic, Kurdish","Mohamed Al-Daradji","Not nominated",NA,NA,"/w"
"Israel","The Human Resources Manager[38]","שליחותו של הממונה על משאבי אנוש","Hebrew, Romanian","Eran Riklis","Not nominated",NA,NA,"/w"
"Italy","La Prima Cosa Bella[39]","La prima cosa bella","Italian","Paolo Virzì","Not nominated",NA,NA,"/w"
"Japan","Confessions[40]","告白","Japanese","Tetsuya Nakashima","Made shortlist[4]",NA,NA,"/w"
"Kazakhstan","Strayed[41]","Заблудившийся","Russian","Akan Satayev","Not nominated",NA,NA,"/w"
"Kyrgyzstan","The Light Thief[31]","Svet-Ake","Kyrgyz","Aktan Arym Kubat","Not nominated",NA,NA,"/w"
"Latvia","Hong Kong Confidential[42]","Amaya","Cantonese, English","Māris Martinsons","Not nominated",NA,NA,"/w"
"Former Yugoslav Republic of Macedonia","Mothers[43]","Мајки","Macedonian","Milčo Mančevski","Not nominated",NA,NA,"/w"
"Mexico","Biutiful[44]","Biutiful","Spanish","Alejandro González Iñárritu","Nominated[5]",NA,NA,"/w"
"Netherlands","Tirza[45]","Tirza","Dutch, English","Rudolf van den Berg","Not nominated",NA,NA,"/w"
"Nicaragua","La Yuma[46]","La Yuma","Spanish","Florence Jaugey","Not nominated",NA,NA,"/w"
"Norway","Angel[47]","Engelen","Norwegian","Margreth Olin","Not nominated",NA,NA,"/w"
"Peru","Undertow[48]","Contracorriente","Spanish","Javier Fuentes-León","Not nominated",NA,NA,"/w"
"Philippines","Noy[49]","Noy","Tagalog","Dondon Santos","Not nominated",NA,NA,"/w"
"Poland","All That I Love[50]","Wszystko, co kocham","Polish","Jacek Borcuch","Not nominated",NA,NA,"/w"
"Portugal","To Die Like a Man[51]","Morrer Como Um Homem","Portuguese","João Pedro Rodrigues","Not nominated",NA,NA,"/w"
"Puerto Rico","Miente[52]","Miente","Spanish","Rafi Mercado","Not nominated",NA,NA,"/w"
"Romania","If I Want to Whistle, I Whistle[53]","Eu cand vreau sa fluier, fluier","Romanian","Florin Șerban","Not nominated",NA,NA,"/w"
"Russia","The Edge[54]","Край","Russian","Alexei Uchitel","Not nominated",NA,NA,"/w"
"Serbia","Besa[55]","Беса","Serbian, Albanian","Srđan Karanović","Not nominated",NA,NA,"/w"
"Slovakia","Hranica[56]","Hranica","Hungarian","Jaroslav Vojtek","Not nominated",NA,NA,"/w"
"Slovenia","9:06[56]","9:06","Slovene","Igor Sterk","Not nominated",NA,NA,"/w"
"South Africa","Life, Above All[3]","Life, Above All","Northern Sotho","Oliver Schmitz","Made shortlist[4]",NA,NA,"/w"
"South Korea","A Barefoot Dream[3]","맨발의 꿈","Korean, Tetum","Kim Tae-kyun","Not nominated",NA,NA,"/w"
"Spain","Even the Rain[57]","También la lluvia","Spanish, Quechua","Icíar Bollaín","Made shortlist[4]",NA,NA,"/w"
"Sweden","Simple Simon[58]","I rymden finns inga känslor","Swedish","Andreas Öhman","Made shortlist[4]",NA,NA,"/w"
"Switzerland","La petite chambre[59]","La petite chambre","French","Stéphanie Chuat, Véronique Reymond","Not nominated",NA,NA,"/w"
"Taiwan","Monga[60][A]","艋舺","Mandarin, Min Nan","Doze Niu","Not nominated",NA,NA,"/w"
"Thailand","Uncle Boonmee Who Can Recall His Past Lives[61]","ลุงบุญมีระลึกชาติ","Thai","Apichatpong Weerasethakul","Not nominated",NA,NA,"/w"
"Turkey","Bal[61]","Bal","Turkish","Semih Kaplanoglu","Not nominated",NA,NA,"/w"
"Uruguay","A Useful Life[61]","La vida útil","Spanish","Federico Veiroj","Not nominated",NA,NA,"/w"
"Venezuela","Hermano[62]","Hermano","Spanish","Marcel Rasquin","Not nominated",NA,NA,"/w"
"Albania","Amnesty[10]","Amnistia","Albanian","Bujar Alimani","Not nominated",NA,NA,"/w"
"Argentina","Aballay[11]","Aballay, el hombre sin miedo","Spanish","Fernando Spiner","Not nominated",NA,NA,"/w"
"Austria","Breathing[12]","Atmen","German","Karl Markovics","Not nominated",NA,NA,"/w"
"Belgium","Bullhead[13]","Rundskop","Dutch, French, Limburgish","Michaël R. Roskam","Nominated[8]",NA,NA,"/w"
"Bosnia and Herzegovina","Belvedere[14]","Belvedere","Bosnian","Ahmed Imamović","Not nominated",NA,NA,"/w"
"Brazil","Elite Squad: The Enemy Within[15]","Tropa de Elite 2: O Inimigo Agora É Outro","Portuguese","José Padilha","Not nominated",NA,NA,"/w"
"Bulgaria","Tilt[16]","Тилт","Bulgarian","Viktor Chouchkov","Not nominated",NA,NA,"/w"
"Canada","Monsieur Lazhar[17]","Monsieur Lazhar","French","Philippe Falardeau","Nominated[8]",NA,NA,"/w"
"Chile","Violeta Went to Heaven[18]","Violeta se fue a los cielos","Spanish","Andrés Wood","Not nominated",NA,NA,"/w"
"China","The Flowers of War[19]","金陵十三釵","Mandarin, English","Zhang Yimou","Not nominated",NA,NA,"/w"
"Colombia","The Colors of the Mountain[20]","Los colores de la montaña","Spanish","Carlos César Arbeláez","Not nominated",NA,NA,"/w"
"Croatia","72 Days[21]","Sedamdeset i dva dana","Croatian","Danilo Šerbedžija","Not nominated",NA,NA,"/w"
"Cuba","Havanastation[22]","Habanastation","Spanish","Ian Padrón","Not nominated",NA,NA,"/w"
"Czech Republic","Alois Nebel[23]","Alois Nebel","Czech","Tomás Lunák","Not nominated",NA,NA,"/w"
"Denmark","SuperClásico[24]","SuperClásico","Danish, Spanish","Ole Christian Madsen","Made shortlist[7]",NA,NA,"/w"
"Dominican Republic","Love Child[25]","La hija natural","Spanish","Leticia Tonos","Not nominated",NA,NA,"/w"
"Egypt","Lust[26]","الشوق","Arabic","Khaled El Hagar","Not nominated",NA,NA,"/w"
"Estonia","Letters to Angel[27]","Kirjad Inglile","Estonian","Sulev Keedus","Not nominated",NA,NA,"/w"
"Finland","Le Havre[28]","Le Havre","French","Aki Kaurismäki","Not nominated",NA,NA,"/w"
"France","Declaration of War[29]","La guerre est déclarée","French","Valérie Donzelli","Not nominated",NA,NA,"/w"
"Georgia","Chantrapas[30]","შანტრაპა","French, Georgian","Otar Iosseliani","Not nominated",NA,NA,"/w"
"Germany","Pina[31]","Pina – Tanzt, tanzt sonst sind wir verloren","German","Wim Wenders","Made shortlist[7]",NA,NA,"/w"
"Greece","Attenberg[32]","Attenberg","Greek","Athina Rachel Tsangari","Not nominated",NA,NA,"/w"
"Hong Kong","A Simple Life[33]","桃姐","Cantonese","Ann Hui","Not nominated",NA,NA,"/w"
"Hungary","The Turin Horse[34]","A Torinói ló","Hungarian","Béla Tarr","Not nominated",NA,NA,"/w"
"Iceland","Volcano[35]","Eldfjall","Icelandic","Rúnar Rúnarsson","Not nominated",NA,NA,"/w"
"India","Abu, Son of Adam[36]","ആദാമിന്റെ മകൻ അബു","Malayalam","Salim Ahamed","Not nominated",NA,NA,"/w"
"Indonesia","Under the Protection of Ka'Bah[4]","Di Bawah Lindungan Ka'bah","Indonesian","Hanny Saputra","Not nominated",NA,NA,"/w"
"Iran","A Separation[37]","جدایی نادر از سیمین","Persian","Asghar Farhadi","Won Academy Award[9]",NA,NA,"/w"
"Ireland","As If I Am Not There[38]","As If I Am Not There","Serbo-Croatian","Juanita Wilson","Not nominated",NA,NA,"/w"
"Israel","Footnote[39]","הערת שוליים","Hebrew","Joseph Cedar","Nominated[8]",NA,NA,"/w"
"Italy","Terraferma[40]","Terraferma","Italian","Emanuele Crialese","Not nominated",NA,NA,"/w"
"Japan","Postcard[41]","一枚のハガキ","Japanese","Kaneto Shindō","Not nominated",NA,NA,"/w"
"Kazakhstan","Returning to the 'A'[4]","Возвращение в «А»","Russian","Egor Mikhalkov-Konchalovsky","Not nominated",NA,NA,"/w"
"Lebanon","Where Do We Go Now?[42]","وهلّأ لوين؟","Arabic","Nadine Labaki","Not nominated",NA,NA,"/w"
"Lithuania","Back to Your Arms[43]","Kai apkabinsiu tave","Lithuanian, Russian, German","Kristijonas Vildžiūnas","Not nominated",NA,NA,"/w"
"Former Yugoslav Republic of Macedonia","Punk is Not Dead[21]","Панкот не е мртов","Macedonian, Albanian","Vladimir Blazevski","Not nominated",NA,NA,"/w"
"Mexico","Miss Bala[44]","Miss Bala","Spanish","Gerardo Naranjo","Not nominated",NA,NA,"/w"
"Morocco","Omar Killed Me[45]","Omar m'a tuer","French, Arabic","Roschdy Zem","Made shortlist[7]",NA,NA,"/w"
"Netherlands","Sonny Boy[46]","Sonny Boy","Dutch","Maria Peters","Not nominated",NA,NA,"/w"
"New Zealand","The Orator[5]","O Le Tulafale","Samoan","Tusi Tamasese","Not nominated",NA,NA,"/w"
"Norway","Happy, Happy[47]","Sykt lykkelig","Norwegian","Anne Sewitsky","Not nominated",NA,NA,"/w"
"Peru","October[48]","Octubre","Spanish","Daniel Vega Vidal","Not nominated",NA,NA,"/w"
"Philippines","The Woman in the Septic Tank[49]","Ang Babae Sa Septic Tank","Tagalog","Marlon Rivera","Not nominated",NA,NA,"/w"
"Poland","In Darkness[50]","W ciemności","Polish, German, Yiddish, Ukrainian","Agnieszka Holland","Nominated[8]",NA,NA,"/w"
"Portugal","José and Pilar[51]","José e Pilar","Portuguese","Miguel Gonçalves Mendes","Not nominated",NA,NA,"/w"
"Puerto Rico","America[52]","America","Spanish","Sonia Fritz","Disqualified[52]",NA,NA,"/w"
"Romania","Morgen[53]","Morgen","Romanian, Hungarian, Turkish","Marian Crisan","Not nominated",NA,NA,"/w"
"Russia","Burnt by the Sun 2: The Citadel[54]","Утомлённые солнцем 2: Цитадель","Russian","Nikita Mikhalkov","Not nominated",NA,NA,"/w"
"Serbia","Montevideo, God Bless You![55]","Монтевидео, Бог те видео","Serbian","Dragan Bjelogrlić","Not nominated",NA,NA,"/w"
"Singapore","Tatsumi[56]","Tatsumi","Japanese","Eric Khoo","Not nominated",NA,NA,"/w"
"Slovakia","Gypsy[57]","Cigán","Slovak, Romany","Martin Šulík","Not nominated",NA,NA,"/w"
"Slovenia","Silent Sonata[21]","Circus Fantasticus","No dialogue","Janez Burger","Disqualified[58]",NA,NA,"/w"
"South Africa","Beauty[59]","Skoonheid","Afrikaans, English","Oliver Hermanus","Not nominated",NA,NA,"/w"
"South Korea","The Front Line[60]","고지전","Korean","Jang Hoon","Not nominated",NA,NA,"/w"
"Spain","Black Bread[61]","Pa negre","Catalan","Agustí Villaronga","Not nominated",NA,NA,"/w"
"Sweden","Beyond[62]","Svinalängorna","Swedish, Finnish","Pernilla August","Not nominated",NA,NA,"/w"
"Switzerland","Summer Games[63]","Giochi d'estate","Italian","Rolando Colla","Not nominated",NA,NA,"/w"
"Taiwan","Seediq Bale[64]","賽德克．巴萊 / Seediq Bale","Seediq, Japanese, Taiwanese, Mandarin","Wei Te-sheng","Made shortlist[7]",NA,NA,"/w"
